Key	prettyName	Basemap	active	Url	Attribution	maxZoom	opacity	subdomains	wms	wmstransparent	wmsformat	wmslayers	Key
OPENSTREETMAP	OpenStreetMap	TRUE	TRUE	http://{s}.tile.openstreetmap.org/{z}/{x}/{y}.png	"Map data &copy; <a href=""http://openstreetmap.org"">OpenStreetMap</a> Contributors"	18							OPENSTREETMAP
OPENSTREETMAP_BW	OpenStreetMap / Black & White	TRUE		http://{s}.www.toolserver.org/tiles/bw-mapnik/{z}/{x}/{y}.png	"Map data &copy; <a href=""http://openstreetmap.org"">OpenStreetMap</a> Contributors"	18							OPENSTREETMAP_BW
OPENCYCLEMAP	OpenCycleMap	TRUE		http://{s}.tile.thunderforest.com/cycle/{z}/{x}/{y}.png	"Map data &copy; <a href=""http://openstreetmap.org"">OpenStreetMap</a> Contributors & <a href=""http://thunderforest.com/"">Thunderforest</a>"	18							OPENCYCLEMAP
//THUNDERFOREST_OUTDOORS	ThunderForest Outdoors	TRUE		http://{s}.tile.thunderforest.com/outdoors/{z}/{x}/{y}.png	"Map data &copy; <a href=""http://openstreetmap.org"">OpenStreetMap</a> Contributors & <a href=""http://thunderforest.com/"">Thunderforest</a>"	18							OUTDOORS
//THUNDERFOREST_TRANSPORT	ThunderForest Transport	TRUE		http://{s}.tile.thunderforest.com/transport/{z}/{x}/{y}.png	"Map data &copy; <a href=""http://openstreetmap.org"">OpenStreetMap</a> Contributors & <a href=""http://thunderforest.com/"">Thunderforest</a>"	18							TRANSPORT
//THUNDERFOREST_LANDSCAPE	ThunderForest Landscape	TRUE		http://{s}.tile.thunderforest.com/landscape/{z}/{x}/{y}.png	"Map data &copy; <a href=""http://openstreetmap.org"">OpenStreetMap</a> Contributors & <a href=""http://thunderforest.com/"">Thunderforest</a>"	18							OPENSTREETMAP_BW
ESRI_WORLD_PHYSICAL	ESRI World Physical	TRUE		http://server.arcgisonline.com/ArcGIS/rest/services/World_Physical_Map/MapServer/tile/{z}/{y}/{x}	Tiles &copy; Esri &mdash; Source: US National Park Service	8							ESRI_WORLD_PHYSICAL
ESRI_NATGEO_WORLD_MAP	ESRI World National Geographic	TRUE		http://server.arcgisonline.com/ArcGIS/rest/services/NatGeo_World_Map/MapServer/tile/{z}/{y}/{x}	"Tiles &copy; Esri &mdash; National Geographic, Esri, DeLorme, NAVTEQ, UNEP-WCMC, USGS, NASA, ESA, METI, NRCAN, GEBCO, NOAA, iPC"	16							ESRI_NATGEO_WORLD_MAP
ESRI_WORLD_SHADED_RELIEF	ESRI World Shaded Relief	TRUE		http://server.arcgisonline.com/ArcGIS/rest/services/World_Shaded_Relief/MapServer/tile/{z}/{y}/{x}	Tiles &copy; Esri &mdash; Source: Esri	13							ESRI_WORLD_SHADED_RELIEF
ESRI_OCEAN_BASEMAP	ESRI Ocean Base Map	TRUE		http://server.arcgisonline.com/ArcGIS/rest/services/Ocean_Basemap/MapServer/tile/{z}/{y}/{x}	"Tiles &copy; Esri &mdash; Sources: GEBCO, NOAA, CHS, OSU, UNH, CSUMB, National Geographic, DeLorme, NAVTEQ, and Esri"	16							ESRI_OCEAN_BASEMAP
ESRI_WORLD_TERRAIN	ESRI World Terrain	TRUE		http://server.arcgisonline.com/ArcGIS/rest/services/World_Terrain_Base/MapServer/tile/{z}/{y}/{x}	"Tiles &copy; Esri &mdash; Source: USGS, Esri, TANA, DeLorme, and NPS"	13							ESRI_WORLD_TERRAIN
ESRI_WORLD_TOPO	ESRI World Topo Map	TRUE		http://server.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer/tile/{z}/{y}/{x}	"Tiles &copy; Esri &mdash; Esri, DeLorme, NAVTEQ, TomTom, Intermap, iPC, USGS, FAO, NPS, NRCAN, GeoBase, Kadaster NL, Ordnance Survey, Esri Japan, METI, Esri China (Hong Kong), and the GIS User Community"								ESRI_WORLD_TOPO
ESRI_DELORME	ESRI DeLorme	TRUE		http://server.arcgisonline.com/ArcGIS/rest/services/Specialty/DeLorme_World_Base_Map/MapServer/tile/{z}/{y}/{x}	Tiles &copy; Esri &mdash; Copyright: &copy;2012 DeLorme	11							ESRI_DELORME
ESRI_WORLD_IMAGERY	ESRI World Imagery	TRUE		http://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/{z}/{y}/{x}	"Tiles &copy; Esri &mdash; Source: Esri, i-cubed, USDA, USGS, AEX, GeoEye, Getmapping, Aerogrid, IGN, IGP, UPR-EGP, and the GIS User Community"								ESRI_WORLD_IMAGERY
//ESRI_USA_TAPESTRY	ESRI USA Tapestry	TRUE		http://services.arcgisonline.com/ArcGIS/rest/services/Demographics/USA_Tapestry/MapServer/tile/{z}/{y}/{x}	"Tiles &copy; Esri &mdash; Source: Esri, i-cubed, USDA, USGS, AEX, GeoEye, Getmapping, Aerogrid, IGN, IGP, UPR-EGP, and the GIS User Community"		0.25						ESRI_USA_TAPESTRY
OPENWEATHERMAP_CLOUDS	Open Weather Map / Clouds			http://{s}.tile.openweathermap.org/map/clouds/{z}/{x}/{y}.png	"Map data &copy; <a href=""http://openweathermap.org"">OpenWeatherMap</a>"		0.5						OPENWEATHERMAP_CLOUDS
OPENWEATHERMAP_RAIN	Open Weather Map / Rain			http://{s}.tile.openweathermap.org/map/rain/{z}/{x}/{y}.png	"Map data &copy; <a href=""http://openweathermap.org"">OpenWeatherMap</a>"		0.5						OPENWEATHERMAP_RAIN
OPENWEATHERMAP_RAINCLASSIC	Open Weather Map / Rain Classic			http://{s}.tile.openweathermap.org/map/rain_cls/{z}/{x}/{y}.png	"Map data &copy; <a href=""http://openweathermap.org"">OpenWeatherMap</a>"		0.5						OPENWEATHERMAP_RAINCLASSIC
OPENWEATHERMAP_TEMPERATURE	Open Weather Map / Temperature			http://{s}.tile.openweathermap.org/map/temp/{z}/{x}/{y}.png	"Map data &copy; <a href=""http://openweathermap.org"">OpenWeatherMap</a>"		0.25						OPENWEATHERMAP_TEMPERATURE
OPENWEATHERMAP_PRESSURE_CONTOUR	Open Weather Map / Pressure Contour			http://{s}.tile.openweathermap.org/map/pressure_cntr/{z}/{x}/{y}.png	"Map data &copy; <a href=""http://openweathermap.org"">OpenWeatherMap</a>"		0.25						OPENWEATHERMAP_PRESSURE_CONTOUR
MAPQUEST_OPEN_AERIAL	MapQuest Open Aerial	TRUE		http://oatile{s}.mqcdn.com/tiles/1.0.0/sat/{z}/{x}/{y}.jpg	"Tiles Courtesy of <a href=""http://www.mapquest.com"">MapQuest</a> &mdash; Portions Courtesy NASA/JPL-Caltech and U.S. Depart. of Agriculture, Farm Service Agency"	18		1					MAPQUEST_OPEN_AERIAL
MAPQUEST_OSM	MapQuest OSMA	TRUE		http://otile{s}.mqcdn.com/tiles/1.0.0/map/{z}/{x}/{y}.jpg	"Tiles Courtesy of <a href=""http://www.mapquest.com"">MapQuest</a> &mdash; Portions Courtesy NASA/JPL-Caltech and U.S. Depart. of Agriculture, Farm Service Agency"	18		1					MAPQUEST_OSM
//STAMEN_TONER	Stamen Toner	TRUE		http://{s}.tile.stamen.com/toner/{z}/{x}/{y}.png	"Map tiles by <a href=""http://stamen.com"">Stamen Design</a>, <a href=""http://creativecommons.org/licenses/by/3.0"">CC BY 3.0</a> &mdash; Map data &copy; <a href=""http://openstreetmap.org"">OpenStreetMap</a> contributors, <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">CC-BY-SA</a>"	20							STAMEN_TONER
//STAMEN_TONERLITE	Stamen Toner Lite	TRUE		http://{s}.tile.stamen.com/toner-lite/{z}/{x}/{y}.png	"Map tiles by <a href=""http://stamen.com"">Stamen Design</a>, <a href=""http://creativecommons.org/licenses/by/3.0"">CC BY 3.0</a> &mdash; Map data &copy; <a href=""http://openstreetmap.org"">OpenStreetMap</a> contributors, <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">CC-BY-SA</a>"	20							STAMEN_TONERLITE
//STAMEN_TONER_HYBRID	Stamen Toner Hybrid			http://{s}.tile.stamen.com/toner-hybrid/{z}/{x}/{y}.png	"Map tiles by <a href=""http://stamen.com"">Stamen Design</a>, <a href=""http://creativecommons.org/licenses/by/3.0"">CC BY 3.0</a> &mdash; Map data &copy; <a href=""http://openstreetmap.org"">OpenStreetMap</a> contributors, <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">CC-BY-SA</a>"	20							STAMEN_TONER_HYBRID
STAMEN_TONER_LINES	Stamen Toner Lines			http://{s}.tile.stamen.com/toner-lines/{z}/{x}/{y}.png	"Map tiles by <a href=""http://stamen.com"">Stamen Design</a>, <a href=""http://creativecommons.org/licenses/by/3.0"">CC BY 3.0</a> &mdash; Map data &copy; <a href=""http://openstreetmap.org"">OpenStreetMap</a> contributors, <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">CC-BY-SA</a>"	20							STAMEN_TONER_LINES
